date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2016;1002.5;1001;1000.6;10;10;9;-2.8;0.6;-0.9;88;89;94;;0;E;1;NE;2;0.4;snow
02.01.2016;997.4;996;996.3;10;10;10;-1.1;-3.4;-3.9;96;92;89;SE;10;SE;12;SE;12;traces;graupel
03.01.2016;994.1;990.7;988.2;10;10;10;;-5.2;-5.2;79;75;73;SE;10;SE;11;SE;10;traces;snow and graupel
04.01.2016;976.6;974.3;974.8;9;10;10;89.26752258488644;-6.5;-7.7;82;86;90;SE;10;SE;11;E;2;4.6;snow
05.01.2016;975.2;976.8;978.9;8;10;10;-7.1;-6.4;-6.1;89;91;92;SE;12;SE;12;S;2;traces;snow and graupel
06.01.2016;979.6;978.8;978.1;10;10;10;78.25561853872996;-2.3;-2.1;98;96;96;S;2;SE;11;N;1;traces;graupel
07.01.2016;978.7;977.9;977.7;7;10;10;-2.3;0.6;0.3;93;88;92;E;1;NE;2;E;1;traces;snow
08.01.2016;981.5;983;984;6;1;9;-2.6;8.9;3.7;98;56;74;W;2;W;4;W;2;0;
09.01.2016;982.9;982.4;982.5;10;10;10;0.8;1.4;1.1;100;100;100;E;1;SE;10;SE;10;4.7;rain
10.01.2016;978;977.4;977.8;10;10;10;0.9;3.5;1.3;100;94;100;NW;1;S;1;E;1;traces;rain
11.01.2016;975.2;968.1;967.4;10;10;10;1.4;3.4;7.5;100;96;82;S;1;SW;2;W;3;1.1;rain
12.01.2016;970;972.9;977;7;6;7;6.6;9.6;6;69;58;73;W;4;W;5;W;4;traces;rain
13.01.2016;981.4;982.5;986.1;3;7;3;4.8;6.1;5.3;72;69;74;W;4;W;6;W;6;0.2;rain
14.01.2016;992.2;988.1;;9;1;1;4.1;6.6;3;63;46;73;W;4;SE;11;S;2;0;
