date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2021;983.7;985;986.6;10;10;10;-2.5;-0.7;-0.7;99;99;98;W;1;E;2;SE;2;traces;rain
02.01.2021;987.3;987.3;987.7;10;9;10;0.1;3.5;4.4;95;88;85;S;1;NE;1;SE;2;0.7;rain
03.01.2021;;984.9;986.8;10;10;10;4.2;5.4;3.4;90;89;84;SE;3;SE;2;W;1;0.1;rain
04.01.2021;988.2;987.7;987.6;10;10;10;1.4;2.5;2.8;93;93;98;W;1;E;1;S;1;1.3;rain
05.01.2021;985.1;985.5;986.3;10;10;10;3;3.9;3.8;100;88;88;N;2;NW;2;NW;1;6;rain and snow
06.01.2021;984.1;983.9;;10;10;5;0.7;2.5;53.0641256386319;97;90;84;E;1;W;2;W;3;3.4;rain and snow
07.01.2021;988.3;989.1;990.2;8;6;4;1;4.2;0;90;74;89;W;3;W;3;W;2;traces;rain and snow
08.01.2021;989.4;989.6;991.5;10;5;3;0.4;4.4;0.4;92;62;80;NE;1;W;3;W;2;traces;rain
09.01.2021;993.9;995;996.7;10;9;9;0.8;3.5;0.8;85;67;81;W;3;W;2;W;2;0.1;rain
10.01.2021;998.2;997.7;998.1;8;8;0;-1.5;-0.1;-2.9;80;80;91;NW;1;NE;1;W;1;0;
11.01.2021;997.2;996.7;996.2;0;0;0;-4.3;1.1;-2.4;88;64;81;W;1;NW;3;W;2;0;
12.01.2021;991.3;986.5;983.2;3;10;10;-3.6;-0.7;-0.3;76;72;88;SW;2;S;2;S;1;2;rain and snow
13.01.2021;987.2;988.5;987.2;7;9;9;2.2;2.8;2.7;63;67;63;W;4;W;5;W;5;0.3;rain and snow
14.01.2021;982.5;987.6;991.2;7;9;9;0.7;1.5;1.5;75;70;69;NW;3;NW;3;NW;4;0.4;snow
15.01.2021;992.7;993.5;994.8;10;9;8;0.5;2;0.1;76;67;85;NW;3;NW;3;W;2;1.1;snow
16.01.2021;996.7;995.8;994.9;10;6;10;-1.1;-1.5;-2.3;71;58;60;NW;4;NW;3;NW;3;2.4;snow and graupel
17.01.2021;991;992.6;995.7;9;10;10;-2.4;-1.3;-1.9;62;65;72;NW;4;NW;2;NW;2;traces;snow
18.01.2021;996.7;996.7;996.9;10;10;9;-2.7;-1.7;0.4;66;86;88;NW;1;SW;1;NW;1;0.8;rain and snow
19.01.2021;995.4;991.2;988.1;8;10;10;;5.6;5.4;68;52;50;W;4;SW;2;SW;2;2.6;rain
20.01.2021;988.7;987.2;985.6;5;7;5;3.2;9.3;3.4;94;63;80;SE;1;E;2;NE;2;0;
21.01.2021;982.7;982.8;982.7;4;9;10;-1;2.1;1;96;90;97;SW;1;NE;1;N;1;0;
22.01.2021;975.7;974.6;973.6;8;2;3;0.2;8.6;5.1;99;67;89;SW;1;E;1;SW;1;0;
23.01.2021;969.5;973.7;973.7;9;10;9;9.2;6;3.9;77;62;74;SE;3;W;4;W;2;0.6;rain and snow
24.01.2021;971.8;974.4;975.8;7;9;9;0.8;39.70305550628271;3.3;96;58;49;SW;1;W;3;W;2;traces;snow
25.01.2021;976;977.3;980.3;9;6;7;1.9;4.6;1;70;47;63;W;2;NW;2;NW;2;0.9;snow
26.01.2021;987;987.7;988.4;4;5;10;0;2.9;1.3;76;65;85;W;3;W;3;W;4;1.3;snow
27.01.2021;991;990.4;989.6;9;8;2;1;4.4;-0.6;72;63;81;W;3;NW;3;W;2;0.2;snow
28.01.2021;986.3;981.4;976.8;9;10;10;1.9;5.3;2.6;84;64;95;W;3;S;2;SW;1;10.5;rain
29.01.2021;976.7;972.2;972.1;9;10;7;3.8;5.3;8.7;91;95;70;NW;2;S;2;W;2;7.7;rain
30.01.2021;972.7;974.3;977.6;8;10;10;8;5.8;0.2;72;72;86;W;5;W;4;NW;3;1.1;rain and snow
31.01.2021;980;980.4;980.2;10;9;2;-0.8;1.8;-1.4;69;59;80;N;2;E;1;NE;1;0;
01.02.2021;975.7;974.9;977.3;1;9;2;-3.4;2.8;0.1;82;69;77;SE;2;SE;3;NE;2;0.2;rain
02.02.2021;983.4;984.3;983.3;9;8;8;0.4;6.1;3.1;82;72;85;S;2;S;2;SE;2;3.1;rain
03.02.2021;984.7;981.1;980.5;7;10;10;1.8;4.7;4.8;97;91;95;S;1;SE;2;;0;0.1;rain
04.02.2021;983.6;990.7;992.5;1;4;1;10.7;13.5;5.8;58;44;68;W;6;W;3;W;2;0;
05.02.2021;990.5;990.1;990.1;9;8;10;3.8;9.7;6.4;78;62;84;NE;1;NE;1;NE;2;0;
06.02.2021;988.2;986.7;986.1;10;10;10;4.1;3.8;1.5;88;97;98;NE;1;NE;2;NE;3;2.9;rain
07.02.2021;978.1;975.2;973.2;10;10;10;2;1.3;-0.6;100;99;97;NE;2;NE;2;NE;3;2.2;rain and snow
08.02.2021;971;971.9;974.1;9;10;10;-0.4;0.2;-0.5;93;87;91;N;2;N;2;NE;2;0.3;snow
09.02.2021;976.2;977.3;980;10;10;10;0.5;2.6;1;92;81;81;W;1;N;2;N;1;traces;snow
10.02.2021;978.2;977.2;981.6;10;10;10;-0.1;0;-0.8;85;94;87;E;2;NE;2;NW;3;2.8;snow
11.02.2021;992.7;996.3;1000.4;10;6;7;-6.7;-3.3;-4;71;56;68;NW;4;NW;5;NW;4;0.2;snow
12.02.2021;1004.8;1006;1006.5;9;5;4;-6.6;-3.7;-5.3;61;52;65;NW;3;N;2;NW;3;traces;snow
13.02.2021;1010.1;1010.2;1011.3;0;5;10;-8.3;-2.1;-2.4;74;58;70;NW;3;NW;3;NW;3;traces;snow
14.02.2021;1013;1013.3;1013.6;0;1;0;-5.4;1.1;-1.2;74;45;58;NW;2;NW;3;NW;2;0;
15.02.2021;1011.9;1009.7;1007.2;0;1;5;-6;2.2;-1.7;77;29;55;NW;1;NE;2;E;2;2.5;snow
16.02.2021;1000;998.8;996.8;10;10;10;-2.3;0.4;0.1;93;84;83;S;1;SE;2;SE;2;0.8;rain and snow
17.02.2021;991.8;993.3;995;9;8;9;-0.4;8.9;8.9;89;79;55;E;1;W;2;W;3;1.5;rain
18.02.2021;996.5;995.5;995.1;9;6;6;5;11.2;6.6;75;50;71;;0;E;2;SE;2;0;
19.02.2021;995.1;996.6;997;10;10;9;2.5;6.3;5.9;86;76;83;SE;2;SE;1;SW;1;traces;rain
20.02.2021;999.4;1000.3;1000.3;10;10;10;2.8;3.4;3.3;93;91;100;NE;1;E;2;SE;3;0;
21.02.2021;999.6;999.9;999.1;10;10;10;3.3;4.2;5.3;100;98;93;SE;3;E;3;E;3;0;
22.02.2021;999.3;1001.7;1002.8;10;10;0;3.5;5.6;3;93;85;92;E;2;E;1;N;1;0;
23.02.2021;1008.2;1009.4;1011.3;9;0;0;1.9;13.8;6.2;100;57;88;;0;NE;2;NE;1;0;
24.02.2021;1011.6;1009.9;1008.5;0;5;0;1.9;14.5;8.7;96;52;76;W;2;S;1;S;1;0;
25.02.2021;1006.7;1005.5;1004.3;0;0;0;2.1;11.8;8.9;98;68;80;W;1;NE;2;W;1;0;
26.02.2021;1003.2;1000.6;;0;0;1;2;19.5;14.4;96;26;46;SW;1;W;4;W;3;5.7;rain
27.02.2021;1007.1;1009.6;1011;7;9;8;4.5;7.2;5.1;81;61;67;NW;3;NW;3;NW;3;0;
28.02.2021;1011.4;1009.2;;4;7;0;2.3;61.06970095865958;4.2;75;54;71;W;1;NW;2;W;2;0;
01.03.2021;1008.4;1009.1;1009.1;0;3;0;1.6;6.8;4.6;79;68;81;NW;2;N;3;NW;2;0;
02.03.2021;1009.9;1009;1008.1;0;0;0;-1.5;8.1;5.1;95;66;83;NE;1;E;1;N;1;0;
03.03.2021;;1003.9;1001.5;0;5;10;-0.9;8.6;6.4;98;68;80;;0;E;1;E;1;0;
04.03.2021;995.2;992.2;989.7;9;10;9;;13.5;10;74;40;42;W;2;W;3;W;2;1;rain
05.03.2021;988.5;995;1000.8;10;10;10;6.7;3.9;1.9;84;84;74;NW;3;NW;3;NW;3;7.6;rain
06.03.2021;1006.9;1006.9;1005.8;0;1;0;-0.6;5.3;1.2;66;36;55;NW;3;N;2;N;1;0;
07.03.2021;1001.1;996;993.7;1;3;1;-3.8;7.5;3.3;79;38;59;W;1;E;2;N;2;0;
08.03.2021;993.6;994.5;996;1;8;10;0.7;5.7;4;66;57;57;NW;2;N;3;N;3;0;
09.03.2021;995.9;994;993.9;7;9;9;-0.8;4;2.7;73;41;48;E;2;SE;2;E;2;0;
10.03.2021;994.4;994.4;995.2;8;9;0;-0.2;6.2;2.6;71;44;76;S;1;N;2;W;2;0;
11.03.2021;991.4;986.3;982.9;8;10;10;-0.1;8.5;7.7;83;49;56;SW;1;S;2;S;2;3;rain
12.03.2021;985.4;987.9;987.4;1;7;2;8;12.6;7.8;64;39;50;W;4;W;4;W;2;0;
13.03.2021;986.7;981.5;979.5;8;8;8;3.7;15.2;11.3;65;34;57;SW;2;S;4;SW;3;0;
14.03.2021;980.8;984;985.7;10;10;10;8;6.2;5;60;81;74;W;3;W;3;W;3;4.2;rain
15.03.2021;985.9;983.2;983.6;5;9;0;2.8;10.3;5.6;74;38;64;W;3;NW;3;W;2;0.1;rain
16.03.2021;987.4;989.5;992.1;9;9;8;4.8;6.4;4.9;69;56;61;NW;4;NW;4;NW;4;0.5;rain and snow
17.03.2021;991.9;991.8;993.6;5;7;9;2.5;5.9;5.3;74;50;60;NW;3;NW;3;N;2;0.3;rain
18.03.2021;995;993.3;992.2;7;7;3;2.2;6.2;3.1;71;38;53;NW;3;N;3;N;2;traces;graupel
19.03.2021;991.4;991.4;992.9;9;9;9;0.9;3.3;1.7;78;79;85;;0;N;2;NW;2;1.2;rain and snow
20.03.2021;997.3;999.3;999.3;8;4;2;-2.1;2;-0.7;78;44;43;N;3;N;3;NW;2;0.1;snow
21.03.2021;994.8;990.1;988;5;10;9;-1.5;1.7;1.1;71;64;82;W;2;W;4;W;5;0.9;snow
22.03.2021;989.7;991;994.1;5;9;9;2.7;7;3;68;42;70;NW;4;N;4;N;3;0.1;rain
23.03.2021;997.4;997.2;998.2;9;10;10;3.8;7.5;6.4;68;57;62;W;2;NW;3;NW;3;traces;rain
24.03.2021;1000;998.7;998.7;10;10;3;5.3;8.3;5.3;68;52;67;NW;2;NW;3;N;2;0;
25.03.2021;997.6;995.4;995.1;1;4;1;1.2;15.6;10.4;84;40;57;SW;1;NW;3;NW;1;0;
26.03.2021;998;996.1;995;3;1;1;5;18.2;14.5;79;36;38;W;1;E;3;SE;2;0;
27.03.2021;994;996.7;1000.5;4;6;9;6.6;17.4;10.5;68;44;54;SE;2;W;4;W;3;traces;rain
28.03.2021;1006.9;1005.9;1005.5;6;9;2;7.3;14.1;9.5;56;33;51;NW;2;NW;2;E;1;0;
29.03.2021;1007.2;1006;1005.9;10;6;9;6;18;15.8;73;32;33;NE;1;W;2;W;3;traces;rain
30.03.2021;1006.2;1004.5;1003.5;5;4;6;;23.5;19.2;39;23;31;NW;3;NW;3;NW;2;0;
31.03.2021;1002.5;998.8;996.2;0;0;1;10.8;;18.6;63;37;47;;0;SE;2;SE;2;0;
01.04.2021;993.2;989.4;988.3;5;3;7;11.9;25;19.8;74;23;37;E;1;W;4;NW;4;0.3;rain
02.04.2021;991.1;990;989.4;10;7;8;11.4;14.3;11.4;66;44;51;NW;4;N;3;N;3;0;
03.04.2021;991.5;993;994.4;4;9;9;6.2;8.2;6.1;61;53;63;NW;4;NW;3;NW;3;2;rain and hail
04.04.2021;997.1;995.7;993.3;8;8;0;3.7;9.1;6;72;40;49;NW;3;NW;3;NW;2;0;
05.04.2021;985.9;978;975.8;0;6;10;3.6;18.3;14.6;65;27;29;W;1;S;3;W;2;1.4;rain and snow
06.04.2021;985.1;983.6;982.9;8;9;3;0.9;1.3;1.6;58;81;75;NW;2;NW;3;W;4;1.2;snow
07.04.2021;985.7;988.4;991.1;5;6;4;2.6;5.7;1.5;59;56;73;NW;3;W;3;W;3;5.5;snow and graupel
08.04.2021;995.2;998.4;1000.4;5;8;4;3.2;6;4.7;66;54;56;W;4;W;4;W;4;0.4;snow and graupel
09.04.2021;998.5;994.5;991.9;1;8;8;2.9;15.8;14;52;22;30;S;1;SE;2;S;2;0;
10.04.2021;992.7;991.6;990.8;1;9;4;6.5;18.8;15.5;65;33;38;E;1;SE;3;SE;3;0;
11.04.2021;988.9;987.7;987.9;9;7;9;8.2;19;14.8;68;38;51;S;2;S;3;SE;3;0;
12.04.2021;990.2;992.2;998.1;4;10;10;8.3;14.6;3;79;59;89;E;1;W;4;NW;4;8.1;rain and snow
13.04.2021;1000.2;999.2;998.9;10;10;10;3;3.2;2.4;76;88;88;NW;4;NW;4;NW;4;11.7;rain and snow
14.04.2021;998.5;997.7;998.2;10;9;9;3.6;8.2;6;78;45;47;NW;4;NW;4;NW;3;traces;rain
15.04.2021;998.1;996.8;997.3;9;10;10;4;7.5;4.5;60;40;61;NW;3;NW;3;NW;3;traces;rain
16.04.2021;996.3;996.5;996.5;8;10;6;3.7;7.2;87.12797588646944;66;55;60;NW;4;NW;3;NW;2;0;
17.04.2021;995.1;993.8;994.6;10;10;10;5.7;8.9;6.8;71;58;68;NW;2;N;3;N;2;traces;rain
18.04.2021;993.5;993;993.4;10;10;8;5.3;9.6;8;78;64;70;NW;3;NW;2;W;2;0.1;rain
19.04.2021;992.4;991.1;991;10;10;10;7.2;9.7;8.3;81;74;86;NW;2;NW;3;NW;3;0.8;rain
20.04.2021;989.7;988.5;989.1;10;3;2;8.5;15.5;10.4;79;51;68;NW;3;W;1;W;4;0.8;rain
21.04.2021;990.4;989.2;989.4;1;8;2;11.9;18.6;13.4;60;34;55;W;2;NW;3;W;2;0;
22.04.2021;991.3;993.6;994.5;3;9;9;12.8;10.5;9.8;56;72;41;W;3;NW;3;N;3;0.4;rain
23.04.2021;1000;998.7;;1;5;1;8.4;14.8;12.7;50;32;35;NW;3;NW;2;N;2;0;
24.04.2021;1000.5;996.9;994.9;4;6;3;7.1;15.6;13.8;63;34;42;E;1;E;2;SE;2;traces;rain
25.04.2021;994.4;994.5;995.1;7;5;5;9.4;14.1;10.5;55;37;34;NW;2;NW;4;N;3;0;
26.04.2021;996.1;991.7;989.7;8;3;0;5.7;12;9;53;40;54;NE;1;S;3;SE;3;0;
27.04.2021;989.3;987;985.6;1;9;7;5.3;13.4;11.9;59;40;48;NE;2;SE;3;SE;3;0;
28.04.2021;984.8;983.3;982.3;1;8;3;10.6;16.2;13.7;62;52;61;SE;3;SE;4;SE;3;0;
29.04.2021;981.8;982.1;981.1;10;6;9;9.9;21;18.2;84;45;53;SE;2;E;3;E;2;1.6;rain
30.04.2021;987.2;985.9;983.9;10;8;4;11.4;19.7;;90;45;55;W;2;SE;3;SE;3;0.2;rain
01.05.2021;986.7;984.5;981.8;7;8;10;12.2;19.5;18.5;70;51;55;W;3;NE;2;NE;2;1.4;rain
02.05.2021;978;987.3;990.2;7;9;9;;11.2;8.8;69;65;78;W;7;W;4;W;4;0.4;rain
03.05.2021;996.1;996;995;1;7;2;9.8;12.6;10.9;57;44;47;W;3;W;3;W;3;traces;rain
04.05.2021;989.9;984.6;980.6;1;9;6;10.7;20.8;18.6;63;25;37;S;2;S;3;SE;3;0;
05.05.2021;979.4;980.8;984.1;5;10;8;15.3;10.7;9.4;59;70;64;E;1;W;4;W;4;0.5;rain
06.05.2021;989.6;986.7;983.2;9;9;9;8.9;15.3;11.8;59;44;53;SW;2;S;3;S;3;0;
07.05.2021;983.2;984.7;989.9;9;9;9;12.7;13;10.4;61;72;56;W;3;NW;2;NW;3;3.5;rain
08.05.2021;997.6;995.1;993.7;0;3;4;9.8;16.6;14.1;51;31;44;W;2;NE;2;SE;3;0;
09.05.2021;994;991.7;989.9;6;5;1;10.5;23.2;19.8;66;36;38;SE;1;SE;4;SE;4;0;
10.05.2021;987.9;987;986.6;7;6;1;14.3;26.6;;53;38;43;SE;2;E;3;SE;3;0;
11.05.2021;984.6;982.4;981.8;1;8;2;18.6;27.9;24.8;58;28;36;SE;2;S;5;SE;4;traces;rain
12.05.2021;981.8;982.6;981.4;6;9;9;14.8;14.5;13.1;71;76;78;W;5;W;4;W;5;6.1;rain
13.05.2021;977.6;977.8;978.9;10;10;9;10.9;11.6;11.6;92;86;84;W;4;W;5;W;3;5.8;rain
14.05.2021;981.8;984;984;10;10;8;11.1;14.1;14.4;83;73;69;W;3;NW;3;N;2;1.2;rain
15.05.2021;985.9;984.5;981.7;9;9;5;11.6;16.8;14.9;86;59;76;;0;SE;2;S;3;0.9;rain
16.05.2021;982.5;982.3;980.5;9;3;6;12.8;20.3;16.6;73;37;54;W;4;W;3;SE;3;0.8;rain
17.05.2021;980.2;981.2;982.2;10;10;7;12;12.8;12.1;86;84;77;W;3;W;3;W;4;7;rain
18.05.2021;986.1;987.6;987.8;1;2;3;14.1;17;13.3;65;61;72;W;4;W;4;W;3;4;rain
19.05.2021;988.9;988.1;989.1;10;10;10;11.8;11.7;74.28187488260409;71;84;84;NW;3;NW;3;N;2;4.5;rain
20.05.2021;992.3;992.9;993.9;8;6;8;11.5;14.3;13.7;68;65;64;NW;4;W;4;W;3;11.4;rain
21.05.2021;991.7;986.9;984.9;7;9;7;14.2;22;18.6;59;36;43;S;1;S;2;N;3;0.4;rain
22.05.2021;986.2;988.1;987.8;10;9;6;11.3;14.6;14.8;84;60;72;W;5;S;2;S;3;0.5;rain
23.05.2021;989.9;993.6;994.3;10;10;1;11.8;11.7;12.7;82;82;70;SW;2;W;3;W;3;7.1;rain
24.05.2021;996.5;994.5;991.5;8;10;10;11.4;11.5;11.9;69;88;93;SE;1;S;4;S;3;13.7;rain
25.05.2021;991.5;994.8;995.2;10;10;10;12.4;12.1;11.4;85;57;61;W;4;W;4;W;3;traces;rain
26.05.2021;995.7;991;989;2;3;4;12.3;20.8;18.5;64;33;47;SE;1;S;4;S;2;traces;rain
27.05.2021;992.1;992.9;993.2;9;9;10;14.3;16;12.7;63;59;67;W;3;NW;3;W;3;0.2;rain
28.05.2021;996.1;995.2;995;2;8;9;14.3;16.5;14.2;61;56;67;NW;3;N;1;NW;2;traces;rain
29.05.2021;996;995.4;996.2;3;5;3;14.4;18.8;14.1;62;35;54;NW;3;NW;3;N;3;0.1;rain
30.05.2021;997.1;998.3;998;7;9;3;12.3;11.8;13.1;68;75;63;NW;4;NW;3;NW;3;1.3;rain
31.05.2021;997.1;995;994;5;5;8;13.9;18.8;17;60;47;47;NW;2;N;3;NW;2;traces;rain
01.06.2021;994.9;993.5;992.7;1;4;5;15;19.8;17.6;49;34;41;N;2;N;2;NE;1;0;
02.06.2021;;994.8;995.4;1;4;6;14.1;23;19.9;60;32;40;NE;1;SE;3;SE;3;0;
03.06.2021;999;998.5;998.2;3;2;1;16.7;24.9;22;62;40;39;E;1;SE;2;E;2;0;
04.06.2021;999.1;997.4;996.5;1;3;3;18;26.4;23.8;60;37;44;E;1;E;3;SE;3;0;
05.06.2021;994.7;992.3;991.8;7;2;9;17.9;28;24.5;75;33;59;E;1;NE;2;W;2;traces;rain
06.06.2021;993.5;993.7;993;9;7;4;18.1;22.3;19.2;76;63;73;W;4;W;4;W;3;0;
07.06.2021;994.6;993.8;992.7;1;1;1;21.2;26.8;23.4;64;31;34;W;2;N;2;N;2;0;
08.06.2021;994.8;993.3;992.6;0;4;8;22;28;24.4;45;31;45;N;2;N;2;N;2;0;
09.06.2021;994.4;993.2;993;1;4;8;22.4;27.7;22.9;51;32;47;NW;2;N;2;NW;4;0.4;rain
10.06.2021;995;993.3;992.8;1;4;6;21.6;26.9;21.5;55;32;49;NW;2;N;2;N;3;0;
11.06.2021;993.6;993.3;992.4;4;10;5;20.2;18.5;20.1;61;78;63;NW;2;NW;3;NW;3;2.4;rain
12.06.2021;;990.8;989.1;2;9;9;21.7;24.8;22.1;61;49;65;W;3;W;4;W;3;0.8;rain
13.06.2021;996;997;998.4;4;1;1;17.8;21;16.4;50;36;48;NW;4;N;4;N;4;0;
