date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2019;1002.5;996.8;993.2;10;10;6;5.9;7.6;6.9;86;69;71;W;2;W;4;W;5;5.4;"rain; snow and graupel"
02.01.2019;992.3;993.8;998.5;10;10;7;3.6;3.5;1.7;61;60;64;W;5;NW;4;NW;4;1.2;"rain; snow and graupel"
03.01.2019;1003.5;1001.2;1003.4;9;10;3;-1.2;-0.7;-1.4;61;80;70;NW;4;NW;5;NW;4;2;snow
04.01.2019;1006.4;1004.5;1000.9;9;9;10;-2.6;-0.2;0.2;71;64;89;NW;3;W;3;W;4;10.8;snow
05.01.2019;993.3;990.5;992.9;10;10;10;1.3;2;2.9;88;91;89;W;5;W;5;W;4;15;rain and snow
06.01.2019;995.9;999.2;1001.3;9;9;9;2.6;2.2;1.5;68;57;62;NW;4;NW;4;NW;3;traces;rain and snow
07.01.2019;1004.1;1004.1;1003.3;9;10;10;-1.4;-0.9;-1.6;81;70;86;NE;1;E;1;SE;1;2.9;rain and snow
08.01.2019;991.1;984.6;980.3;10;9;9;2.5;64.70686333524088;4.3;87;74;78;W;4;W;4;W;6;3.9;rain and snow
09.01.2019;978.7;979.7;981.5;8;10;10;2.9;2.1;1.2;83;91;90;W;4;W;3;W;4;7.2;rain and snow
10.01.2019;987.8;991.2;993.7;9;10;10;1.2;1.4;1.5;91;86;75;N;3;N;3;NW;3;traces;snow
11.01.2019;997.1;996.5;993.8;9;8;10;-1;0;-0.1;74;62;65;NW;4;W;3;W;5;2.5;snow
12.01.2019;991.5;991.2;989.7;10;10;10;2;4.3;4.4;77;72;70;W;4;W;4;W;4;1.2;rain and snow
13.01.2019;984.2;980.1;973.8;9;9;10;3.4;5.5;5.3;78;78;82;W;4;W;4;W;5;2.5;rain
14.01.2019;972.2;978.1;982.4;9;9;7;6.1;5.9;2.4;73;48;72;W;4;NW;5;NW;3;1;"rain; snow and graupel"
15.01.2019;989.3;990;989.6;10;8;10;1.8;4;4.5;63;62;62;W;4;W;5;W;5;traces;rain and snow
16.01.2019;989.6;989.6;987.8;7;9;8;5.3;7;4.2;61;57;70;W;6;W;3;W;2;0;
17.01.2019;984.5;983.3;;8;1;5;0.5;11.3;5;84;48;65;W;2;SE;2;N;1;0;
18.01.2019;988.1;993.2;996.5;10;7;1;4.4;3.3;0.2;68;62;70;W;2;NW;3;N;2;0.1;"rain; snow and graupel"
19.01.2019;996.9;995.1;993.8;9;9;9;-5.2;-1.1;-1.1;86;72;82;NE;1;E;2;SE;2;0;
20.01.2019;990.8;992.1;994.1;10;10;10;-1;-0.2;-0.4;80;76;72;SE;2;N;2;NW;2;0;
21.01.2019;997.1;996.4;995.7;0;0;0;-4.3;0.6;-3.2;82;61;77;NW;2;N;2;NE;1;0;
22.01.2019;992.1;988.8;985.7;0;10;10;-8;-6.1;-4.2;92;94;92;NE;1;NE;2;NE;1;traces;rain
23.01.2019;979.1;976.8;977.7;10;10;10;-6.8;-4.2;-3.6;94;82;89;NE;2;E;2;E;2;0.7;snow
24.01.2019;981.6;983.4;984.9;10;10;10;-2.6;-2.1;-2.5;81;74;72;N;2;NW;3;N;2;traces;snow
25.01.2019;987.5;989;991.2;1;9;10;-2.4;-0.5;-1.3;74;66;59;NW;2;W;4;W;4;traces;snow
26.01.2019;985.5;982.5;982.1;9;10;10;-0.2;2.7;3.8;60;82;88;W;4;W;4;W;4;4.9;rain and snow
27.01.2019;977.6;973.6;972.3;5;9;9;0.5;0;0.6;94;73;78;W;2;SE;2;SE;1;6.8;rain and snow
28.01.2019;971.3;973;974.7;10;10;2;0.2;3.9;3.2;95;72;68;W;1;W;3;W;3;3.6;rain and snow
29.01.2019;980.8;983.4;983.2;7;8;1;2.6;4.7;0.4;74;56;80;W;4;NW;3;W;2;0;
30.01.2019;977.1;976.3;977.9;9;4;9;-2.2;2.8;0.3;82;68;84;E;2;SE;3;SE;2;traces;snow
31.01.2019;978.5;978.6;978.4;10;10;10;-1.1;;0;93;91;88;E;1;SE;2;SE;2;0;
01.02.2019;975.5;974.6;974.1;9;9;10;-1.5;4.8;5.1;92;78;80;SE;2;SE;3;SE;3;traces;rain
02.02.2019;972.2;973.1;976.9;9;6;9;8.1;14.4;8.7;81;62;67;S;2;SE;3;W;2;0.7;rain
03.02.2019;977.3;982.2;988.5;9;9;10;6.6;5.8;2.6;89;67;86;SE;2;W;5;NW;3;2.1;rain and snow
04.02.2019;1002.4;1005.5;1006;3;10;9;1.6;3.1;2.5;75;62;61;W;3;NW;3;NW;2;traces;snow
05.02.2019;1004.5;1004;1004.4;1;1;0;-2.7;4.8;1;87;56;69;NW;1;W;1;W;2;0;
06.02.2019;1005.6;1004.7;1003.3;1;8;3;-1.4;2.2;-1.5;81;72;87;NW;3;N;2;NW;1;0;
07.02.2019;996.4;993.8;993.6;10;3;1;-3.2;5.7;2.5;93;61;69;E;1;SE;2;S;2;0.1;rain
08.02.2019;997.1;997.1;996.2;9;1;3;2.7;10.4;3.6;87;50;83;W;2;W;2;SW;1;0;
09.02.2019;991.1;992.4;993.6;9;9;9;0.1;6.8;5.6;92;68;76;SE;1;E;2;SW;2;0;
10.02.2019;991.5;982.7;976.6;10;10;1;0.5;3.8;4.2;93;88;90;S;2;SE;2;N;2;3.4;rain and graupel
11.02.2019;980.5;985.9;990.8;10;8;9;6.2;7.2;5.5;64;55;67;W;4;NW;4;W;4;0.1;rain and snow
12.02.2019;998.2;1001.8;1006;9;10;4;3.1;4.3;2.6;56;60;67;NW;5;NW;4;NW;4;traces;snow and graupel
13.02.2019;1009.7;1009.9;1010.3;9;9;9;3.2;7.6;6.4;69;58;59;W;3;W;4;W;3;0.2;rain and snow
14.02.2019;1011.4;1010.7;1010.3;8;6;5;5.3;10.4;6.8;66;50;60;W;2;NW;3;W;3;0;
15.02.2019;1010;1009.8;1008.8;9;1;1;3.5;11;5.3;67;52;67;NW;2;NE;2;N;1;0;
16.02.2019;1006.9;1005.6;1005.4;5;4;8;-0.3;11.9;6.8;90;44;66;;0;E;1;NW;1;0;
17.02.2019;1003.8;1002.2;1001.4;0;0;0;-0.8;11.6;5.2;92;53;77;W;1;E;1;NE;1;0;
18.02.2019;1000.3;997.9;996.4;8;8;0;-0.6;9.8;6.4;96;60;74;SW;1;E;2;E;2;0;
19.02.2019;994.9;994.8;994.6;0;1;1;-1.2;14.4;10.9;95;37;48;;0;W;3;W;3;traces;rain
20.02.2019;998.2;999.3;1000.8;4;7;0;5.8;11.2;8.3;69;45;68;W;3;NW;3;NW;3;0;
21.02.2019;1002.6;1001.3;1001;9;8;10;3.2;13;10.7;88;52;59;W;2;NW;3;W;3;8.1;rain
22.02.2019;998.5;1005.7;1011.8;10;7;1;7.7;5.3;1.6;87;69;61;NW;4;NE;4;N;3;1.1;rain
23.02.2019;1018.2;1017.1;1016.9;0;8;0;-4.7;1.4;-0.7;56;39;44;NW;2;N;2;N;2;0;
24.02.2019;;1014.2;1013.7;9;10;10;-3.4;3.6;3.9;69;30;50;NW;1;NW;2;NW;1;0;
25.02.2019;1012.1;1010.1;1008;9;8;10;6.2;14.4;12.2;43;39;49;W;2;NW;3;W;3;0;
26.02.2019;1005.2;1003.4;1003.6;9;8;2;9.6;15;12.3;42;30;46;NW;4;NW;4;NW;4;0;
27.02.2019;1004.5;1001.9;999.3;4;0;0;6.2;15;8.2;63;32;48;NW;3;NW;3;NW;1;0;
28.02.2019;990.5;986.4;986.8;1;1;9;11.5;18.6;15.8;40;28;36;W;5;W;4;NW;3;0;
01.03.2019;987.6;986.2;987.5;4;3;9;9.8;12.3;9.2;63;60;75;W;3;W;4;W;4;9.7;rain
02.03.2019;991.6;992.5;993.2;10;10;9;4.9;4.6;4.9;81;87;91;N;3;SW;2;E;1;1.3;rain
03.03.2019;992.2;990.3;988.4;9;9;9;8;14.4;11.4;78;48;61;W;4;W;4;SW;2;traces;rain
04.03.2019;982.5;974.5;977.9;8;8;7;6.6;17.4;9.7;76;40;58;SW;1;SE;3;W;5;traces;rain
05.03.2019;985.3;986.4;987;8;5;8;7.3;11.8;10.3;60;48;41;W;4;W;4;W;4;1.6;rain
06.03.2019;993.1;989.7;985.5;5;8;8;4.9;13.8;11.7;82;46;55;W;3;SE;4;SE;3;0;
07.03.2019;979.7;977.6;984.8;9;4;10;4.5;20.6;11;82;36;62;N;1;S;3;W;5;traces;rain
08.03.2019;989.1;990.7;993.4;10;8;9;10.7;14.3;11.5;48;40;42;S;1;W;4;W;4;traces;rain
09.03.2019;994.3;991.4;989.7;8;8;8;5.8;14.1;12.3;67;48;52;W;2;W;5;W;3;2.7;rain
10.03.2019;990.9;983.8;980.3;4;10;1;6.7;124.40338333179238;14.3;82;90;59;NE;1;S;1;W;5;5.8;rain
11.03.2019;991.3;989.9;992.6;4;10;9;5.9;4.3;4.3;49;82;59;W;3;W;4;W;2;2.2;rain and snow
12.03.2019;997.7;998;995.7;9;8;3;3.8;7.1;3.6;74;54;65;NW;3;NW;3;W;1;traces;rain
13.03.2019;986.8;987.9;988;10;10;9;4.2;10.5;7.4;67;46;60;NE;1;W;3;SW;2;0.1;rain
14.03.2019;986.7;984;980.7;8;6;10;5.7;11.8;8.3;72;42;54;W;4;W;4;SW;2;0.6;rain
15.03.2019;982.9;984;982.3;8;9;9;7.3;10.7;8.8;68;56;86;W;4;W;4;W;4;18.8;rain
16.03.2019;986.4;988.5;987.9;10;10;9;;8.5;8.5;89;78;88;NW;3;W;1;S;1;8.4;rain
17.03.2019;985.4;982.1;978.1;9;8;7;3.8;17.1;14;97;60;72;S;1;SE;3;N;2;traces;rain
18.03.2019;991.1;993;995.5;10;9;9;6.6;8.9;6.8;70;52;64;W;3;W;3;W;3;0;
19.03.2019;999.9;1001.1;1003.6;8;9;8;;8.9;7.4;67;45;45;NW;3;N;2;NW;2;0;
20.03.2019;;1009.6;1010.3;8;8;7;4.2;9;5.7;62;38;50;NW;3;NW;2;NW;2;0;
21.03.2019;1011.5;1010;1008.9;3;8;5;1;12.7;8.6;78;34;46;S;1;E;2;;0;0;
22.03.2019;1008.7;1006.6;1005.1;3;9;0;3.4;17;12.9;72;38;60;;0;SE;1;NE;1;0;
23.03.2019;1004.3;1001.9;1000.7;0;0;0;5.7;18.1;13.5;90;44;62;W;1;E;2;SE;1;0;
24.03.2019;999.9;995.4;993.6;0;1;4;7.8;18.2;13.9;78;51;56;NW;1;NE;2;NW;2;traces;rain
25.03.2019;991.8;988.7;991;9;9;4;8.9;12.5;7.2;78;33;53;N;2;NW;3;NW;4;1.1;rain
26.03.2019;1000;999.6;1000.1;9;6;7;5;10.3;8.3;64;39;42;NW;3;NW;4;W;3;1.4;rain
27.03.2019;1004.1;1004.9;1005.9;9;9;8;4.5;10.1;7.6;85;45;55;NW;3;NW;3;NW;3;traces;rain
28.03.2019;1007.5;1006;1006.7;10;8;6;7.3;13.1;10;72;49;69;NW;3;NW;3;NW;2;0.2;rain
29.03.2019;1009.5;1006.6;1005.1;9;9;8;6.8;14.2;10;86;45;57;SW;1;N;2;N;1;0;
30.03.2019;1002.9;999.3;997.1;8;6;1;4.7;17.4;13.5;78;39;48;SW;1;E;2;SE;2;0;
31.03.2019;995.9;994.5;994;0;0;2;6.8;19.9;16.4;76;34;38;SE;1;NE;2;N;2;0;
01.04.2019;998.4;996.6;995.4;1;1;1;7.8;15.8;11.5;63;34;42;N;2;N;3;NE;2;0;
02.04.2019;993.6;989.6;988.1;0;8;8;6.7;18.2;15.7;63;36;37;SE;1;SE;4;SE;3;0;
03.04.2019;984.7;982.5;980.8;9;10;6;9.7;17.4;17;60;40;40;SE;2;SE;4;S;4;0;
04.04.2019;979.9;977.5;977.5;1;9;8;10.6;17.8;16.1;66;44;48;S;3;SE;5;SE;4;0;
