date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2020;1009.1;1008.3;1009.1;9;3;1;3.9;6.1;1.5;63;56;77;NW;3;NW;3;W;2;0;
02.01.2020;1007;1004.6;1003.6;1;8;1;-2.3;3.6;;92;72;90;W;1;E;2;S;1;0;
03.01.2020;1002.9;1000.4;1000;10;10;10;-3.1;-1.6;-2.1;98;93;93;E;1;SW;2;SW;2;traces;rain
04.01.2020;997.7;997.6;996.8;8;10;10;7.8;6.2;4.9;77;64;75;W;4;NW;3;W;5;3.2;rain
05.01.2020;1005.2;1007.7;1009.6;8;1;0;2.8;4.5;2.1;60;50;60;NW;4;NW;4;NW;3;0;
06.01.2020;1008.7;1004.8;1003.8;8;1;1;-2.2;4.2;-0.5;83;56;78;;0;S;2;E;1;0;
07.01.2020;1000.6;1002.3;1005.5;1;7;10;-4.3;1.8;3.9;91;71;77;;0;E;2;NW;2;traces;rain
08.01.2020;1005.8;1003.9;1004.5;9;1;9;2.5;8.4;3.6;90;61;76;E;1;S;1;SE;1;0.3;rain
09.01.2020;1001.2;998.7;997.3;10;9;9;2.3;3;2.1;84;83;88;S;1;SE;2;SE;2;0;
10.01.2020;995.9;997.3;999;10;9;9;-0.1;1.2;0.3;90;87;93;S;2;E;2;SE;1;0.1;rain
11.01.2020;1003.8;1006.6;1007.3;9;7;1;7;8.1;4.4;74;51;62;W;2;NW;3;NW;2;traces;rain
12.01.2020;1004.8;1001.9;1001.8;3;3;1;-1.9;5.7;-0.1;90;64;90;NW;1;SW;1;N;1;0;
13.01.2020;1001.7;998.9;998.2;9;9;10;0.7;4.8;1.1;88;73;89;SE;1;SE;2;SE;3;traces;rain
14.01.2020;997.3;998.3;1000.4;10;10;10;-1.1;-0.7;-1;95;89;92;SE;3;S;3;S;3;traces;rain and graupel
15.01.2020;1000.8;999.3;1000.4;10;10;10;-0.8;-0.1;1.1;94;91;92;SE;3;SE;3;SE;2;traces;snow
16.01.2020;1006;;1007;10;10;0;-1.4;2;-0.4;96;83;94;;0;NE;1;NW;1;0;
17.01.2020;1002.3;999.9;999.5;10;10;10;-1.3;-0.1;0.1;99;94;94;E;2;S;3;S;3;traces;snow and graupel
18.01.2020;1000.7;1000.3;1001.1;10;10;10;-0.8;-0.8;-0.4;97;97;96;SE;2;NE;1;NE;1;4.6;"rain; snow and graupel"
19.01.2020;1002.8;1006.6;1010.5;10;10;10;2.8;2.9;2.8;88;90;86;NW;3;NW;3;NW;3;6.7;rain
20.01.2020;1017.3;1020.1;1021;10;9;1;2;4.6;1.8;93;76;92;NW;3;NW;2;NW;2;0;
21.01.2020;1018.1;1016.3;1014.8;9;10;10;-2.3;-1;-0.9;97;96;96;NE;1;NE;1;NE;1;0;
22.01.2020;1008.4;1005.7;1006.6;10;3;7;-1.1;3.2;2.1;91;64;68;NW;1;NW;3;NW;1;traces;rain
23.01.2020;1010.2;1007.7;1005;9;2;0;1.6;5.3;1.4;80;63;77;NW;2;E;2;SE;3;0;
24.01.2020;1001.7;1000.2;999.4;10;10;10;-1.1;-0.3;-0.9;89;85;90;SE;2;S;2;S;2;0;
25.01.2020;998.1;998.2;998.3;10;10;10;-0.8;0;-0.4;94;93;96;SE;1;E;2;S;1;0;
26.01.2020;997.4;996.6;996.2;10;10;10;-1.9;-0.7;-0.7;98;90;92;SE;2;SE;2;SE;1;0;
27.01.2020;994.4;992.4;990.4;10;10;10;-0.7;1.4;-0.3;97;93;99;E;1;SE;1;S;2;traces;rain
28.01.2020;981.4;978.7;978.5;10;10;10;-0.1;1.4;5.1;100;97;75;E;2;SW;1;W;3;1.8;rain
29.01.2020;981.1;983;;9;2;9;2.8;6.2;3.8;68;60;69;W;2;W;5;SW;2;2;rain and snow
30.01.2020;992.6;990.4;988.8;5;9;7;;8.4;5.7;68;59;72;W;3;W;3;W;2;0.3;rain
31.01.2020;981.9;984.7;987.7;8;9;8;10.4;15.8;13.7;78;57;65;W;5;W;4;W;3;0;
01.02.2020;987.8;984.5;983.8;2;5;4;10.8;17.9;10.5;75;49;70;SW;2;W;3;SW;2;2.8;rain
02.02.2020;989.4;987.4;983.7;4;10;10;8.3;13.9;13.2;76;57;69;W;4;W;3;W;3;10;rain
03.02.2020;987;989;988.5;10;9;10;7.7;7.2;8.4;91;82;73;W;5;W;5;W;6;7.4;rain
04.02.2020;972.2;979;983.9;9;10;8;8.4;6.1;4.3;73;65;65;SW;2;NW;5;NW;4;1.3;rain
05.02.2020;989;998.2;1004.1;8;9;0;3.7;4.2;1.9;72;59;55;NW;4;N;5;N;4;traces;"rain; snow and graupel"
06.02.2020;1004.4;1002.9;1002.2;1;7;1;0.7;5.4;3.1;63;53;65;W;3;NW;4;NW;2;0;
07.02.2020;1002.5;1002.9;1003.7;9;9;2;3;6.4;4;65;62;78;W;4;NW;3;NW;2;0;
08.02.2020;1003.2;1002.5;1002.2;1;2;0;-0.6;6.7;3.8;87;59;68;SE;1;SE;3;SE;2;0;
09.02.2020;1002.1;998.8;994.3;5;6;0;-2.1;6.4;3.5;86;58;71;SE;1;SE;2;S;2;traces;rain
10.02.2020;977.1;979.4;982.7;10;9;1;5.4;9.8;6.3;65;72;78;W;1;W;4;W;3;15.1;rain
11.02.2020;979.5;982.1;983.9;9;9;8;5.5;7.1;6.1;74;61;61;W;5;W;4;W;4;4.4;rain and graupel
