date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2014;992.8;993.6;993.6;10;4;10;4.1;6.3;3.9;95;66;95;SE;3;E;1;SE;3;0;
02.01.2014;986.2;;988.4;9;6;1;4;6.9;2.4;83;63;85;SE;3;SW;1;W;2;0.8;rain
03.01.2014;991.7;990.9;991.7;0;9;8;0.6;3.8;;100;87;98;N;1;SE;2;NW;1;0;
04.01.2014;994.2;990.3;985.2;8;10;10;1.8;3.4;5.3;98;98;98;SW;2;SE;3;SE;3;traces;rain
05.01.2014;978.3;983;989;10;10;10;8.3;8.7;6.6;92;72;81;SW;2;W;5;W;4;0.6;rain
06.01.2014;993.6;993.6;993.4;2;2;1;4.7;9.9;3.9;88;59;93;W;1;SE;2;E;1;0;
07.01.2014;995.3;997.8;998.8;10;10;10;3.9;5.5;4.5;96;87;96;NW;1;E;1;SW;2;traces;rain
08.01.2014;998.8;998.8;999.3;10;10;10;3.4;4.9;3.2;97;89;98;SW;2;SW;2;SW;2;traces;rain
09.01.2014;995.3;991.8;989.9;10;10;10;2.3;3.4;4;98;97;97;S;2;SE;1;S;2;0.1;rain
10.01.2014;989.6;993.2;994.9;9;5;1;7;;6.3;77;49;63;W;4;W;4;W;3;traces;rain
11.01.2014;995.4;993.1;992.5;6;9;7;0.4;7.9;5.8;96;64;92;SE;1;S;3;SW;2;traces;rain
12.01.2014;997.4;998.1;997.3;1;8;0;5.1;6.8;1.4;60;53;78;NW;4;NW;3;W;2;0;
13.01.2014;993.8;991;990.4;0;5;1;-2.9;4.9;0.8;99;63;89;NE;1;E;2;E;1;0;
14.01.2014;985.1;981.2;981.4;10;10;9;1.6;4;5.8;98;91;80;SE;1;SW;2;SE;2;0.1;rain
15.01.2014;985.1;987.3;989.6;8;8;1;4.4;8.1;2.5;79;59;81;W;3;W;3;W;2;0;
16.01.2014;987.7;985;983.3;6;9;9;-1.1;5.1;4.5;98;86;90;NE;1;W;1;SE;2;0;
17.01.2014;983.8;982.3;983;10;9;10;3.1;5.6;4.8;97;81;89;NE;2;S;1;NE;1;0;
18.01.2014;985.5;982.8;981.2;10;10;10;;4;5.4;97;100;97;NE;1;SE;2;N;1;traces;rain
19.01.2014;978.4;977.5;977.3;8;9;7;2.8;12.8;9.7;97;59;80;NE;1;SE;3;S;2;traces;rain
20.01.2014;975.1;975.1;977.1;10;10;10;8.2;9.2;6.5;96;94;81;E;3;E;2;W;4;1.2;rain
21.01.2014;980.4;982.6;984.6;10;10;10;4.7;5;4.2;88;88;90;W;3;W;3;W;3;4;rain
22.01.2014;986.8;987.6;989.7;10;9;10;1.6;3.4;2.2;94;81;82;N;1;N;2;N;2;traces;rain and snow
23.01.2014;992.6;993;993.7;10;9;10;-1.1;-0.1;-0.8;86;76;75;NE;2;NE;2;NE;2;traces;snow
24.01.2014;989.3;989;990.1;10;10;10;-0.9;-0.4;0.1;92;100;98;SE;2;E;2;N;2;traces;snow
25.01.2014;991.8;990.5;991.8;9;8;9;-4.4;-0.7;-6;68;43;70;N;3;N;4;N;2;0;
26.01.2014;987.9;987.2;987.2;9;10;10;-9.7;-5.1;-5.8;71;58;83;NE;2;E;1;SE;2;0.1;snow
27.01.2014;;979;980.2;10;10;10;-4.6;-4;-3.2;89;91;89;SE;3;SE;3;SE;2;0.8;snow
28.01.2014;979.5;978.2;978.6;9;10;10;-2.7;-0.3;-0.3;89;80;79;W;1;NW;2;NE;2;traces;snow
29.01.2014;980.6;982.4;984.3;10;10;8;-1.9;-0.7;-2.1;92;87;89;E;2;SE;3;SE;4;0.5;snow
30.01.2014;;991.6;991.7;10;10;9;-2.5;-1.1;-0.3;86;85;87;SE;3;SE;4;SE;4;0.1;rain and snow
31.01.2014;992.4;993.6;995;10;10;10;-1.5;-1.1;-1.5;88;83;82;SE;4;SE;3;SE;4;traces;rain
01.02.2014;992.9;992.2;991.8;10;10;10;-3.3;-2.2;-1.7;88;81;81;SE;4;SE;4;SE;4;traces;rain
02.02.2014;990.9;992.5;995.7;10;10;10;-1.2;-0.3;-0.4;93;94;98;SE;3;SE;3;SE;3;2.9;rain
03.02.2014;997.3;996;995.4;10;10;10;-1.4;0.3;0.3;90;81;79;SE;3;S;4;S;4;0;
04.02.2014;994.5;994.1;993.4;9;10;10;-1;-0.5;-0.9;87;85;93;SE;3;SE;4;SE;4;0;
05.02.2014;989.1;984.7;983;10;10;10;-1.5;1.5;1;94;81;92;SE;3;SE;3;SE;3;0.1;rain
06.02.2014;988;988.6;988.8;10;8;1;0.4;4.6;1.4;99;80;93;E;1;S;2;SE;2;traces;rain
07.02.2014;982.6;978.1;982.1;10;9;4;0.5;7.2;1.2;100;74;93;SE;3;SE;3;W;1;0.1;rain
08.02.2014;;979.5;975.4;10;8;9;5;8.7;6;87;67;86;W;2;SE;4;SE;3;0;
09.02.2014;976.8;978.4;979.2;9;10;10;1.9;3.3;;97;96;90;NW;1;W;2;W;3;4;rain
10.02.2014;982.2;977.8;975.7;4;9;10;-0.6;7;7.1;92;67;75;;0;SE;3;S;4;0.7;rain
11.02.2014;978.9;982.9;984.3;10;9;9;6.7;9.6;5.7;81;56;75;W;2;W;3;W;2;5;rain
12.02.2014;983.3;;986.2;10;9;8;2.9;7.4;6.5;96;61;62;N;1;NW;2;W;3;6.3;rain
13.02.2014;984.7;979.8;975.1;3;1;9;-0.7;8.5;5.2;97;51;84;W;2;SE;2;SE;3;traces;rain
14.02.2014;983;987.6;989.5;9;3;0;6.8;10.3;4.5;57;38;55;W;4;W;3;SW;2;0;
15.02.2014;985.1;983.9;982.4;9;9;1;2.6;9.6;7.8;93;56;63;SE;2;SE;4;SE;3;0;
16.02.2014;987.7;989.7;991;5;10;10;6.9;8.5;6.3;81;68;82;W;3;W;3;W;3;0.1;rain
17.02.2014;991.3;992.8;994.5;10;9;9;5.3;8.4;7.3;79;71;80;NE;1;SE;2;SW;1;traces;rain
18.02.2014;996.7;994.6;992.6;8;10;10;-0.3;5.8;5.5;100;82;88;S;1;SE;3;SE;3;0;
19.02.2014;988.2;990;990.3;10;10;10;5.1;7.6;6.9;93;73;82;N;1;W;2;W;3;1.3;rain
20.02.2014;992;991.1;990.4;10;5;3;6.5;12.4;8.2;81;44;73;W;3;E;1;SE;2;0;
21.02.2014;986.9;986;987.3;5;1;9;2.9;11.5;8.1;95;64;88;NE;1;SE;2;SE;2;traces;rain
22.02.2014;989.8;991.4;993.9;10;10;10;6.7;8.2;7.2;83;59;58;W;3;NW;3;NW;3;traces;rain
23.02.2014;998.2;998.8;999.5;9;3;0;5;11.7;6.7;63;37;47;NW;3;N;3;NW;2;0;
24.02.2014;998.7;996;996;1;1;1;-0.6;11;;93;53;71;;0;SE;3;SE;2;0;
25.02.2014;993.5;991.7;992.5;1;1;0;1.6;12.8;7;98;50;79;S;1;SE;3;SE;3;0;
26.02.2014;992.8;993.8;993.7;10;10;0;4.5;5;3.3;95;88;91;SE;2;E;2;NW;1;0;
27.02.2014;994.7;993.5;991;10;5;3;4.6;8.3;5.5;88;66;84;NW;2;NE;2;E;2;0;
28.02.2014;986.2;983.7;981.8;9;9;5;4;9.5;7.4;88;63;72;NW;2;E;2;SE;2;0;
01.03.2014;980.3;979.4;978.9;10;5;5;2.7;12.9;9.4;97;45;53;E;1;S;4;SE;2;0;
02.03.2014;979.1;979.5;978.7;5;9;4;2.9;11.5;8.7;98;52;60;SW;1;E;2;NW;2;0;
03.03.2014;974.7;973.4;973.9;9;10;10;2.4;9.3;6.9;90;71;90;NE;2;SE;3;SE;3;0.1;rain
04.03.2014;975.4;977.8;980.3;10;9;5;5.4;9.1;6.3;100;72;87;E;2;SE;2;N;2;1.7;rain
05.03.2014;986.3;988.6;991.7;8;9;2;4.1;11.6;9.1;91;56;60;W;2;NW;3;N;3;traces;rain
06.03.2014;998.1;1001.3;1002.2;10;10;9;7.1;8.5;8.6;71;70;66;NW;4;NW;3;NW;3;traces;rain
07.03.2014;1002.4;1001.4;1001.2;10;9;9;5.1;7;6.1;74;61;64;N;2;N;3;W;2;0;
08.03.2014;1005.7;1006.5;1007;9;0;0;2.8;;9.1;86;41;46;W;2;NW;3;NW;2;0;
09.03.2014;1008.6;1007.4;1006.5;0;0;0;3.8;11.9;8;81;47;60;NW;1;N;2;N;2;0;
10.03.2014;1004.2;1001.9;1001;3;9;8;1.3;10.7;8.8;93;44;40;N;1;E;3;SE;2;0;
11.03.2014;1001.7;1001.8;1002.8;5;0;0;0.5;14.9;;79;34;38;S;1;N;2;NW;2;0;
12.03.2014;1006.1;1005.4;1005.4;1;0;0;7;15;11.1;50;35;34;NW;2;N;3;N;2;0;
13.03.2014;1005.6;1002.7;1001.4;0;0;0;1.9;15.1;11;82;40;48;SW;1;SE;2;SE;2;0;
14.03.2014;1000.9;997.7;995.9;0;0;0;3.3;19.3;13.1;90;30;42;SE;1;NW;1;SW;1;0;
15.03.2014;988.3;986;989.2;7;10;5;;11.2;7.1;49;63;79;W;5;NW;5;W;4;3.1;rain
16.03.2014;983.9;983.4;986;10;6;6;8.3;11.4;12.4;79;74;71;W;6;W;6;W;5;traces;rain
17.03.2014;989.8;991.2;991.6;1;8;4;12.2;16.7;14.5;66;47;49;W;5;NW;4;NW;2;0;
18.03.2014;993.3;989.1;987.9;6;9;10;8.6;19.8;15.9;78;36;42;W;2;W;4;W;2;traces;rain
19.03.2014;991.7;996.1;997.4;8;9;8;11.7;11.2;12.2;54;80;55;W;3;NW;4;W;4;2.1;rain
20.03.2014;999.7;998.2;995.2;5;6;5;10.3;20.2;16.9;62;40;40;SW;2;E;3;SE;3;0;
21.03.2014;992.2;988.3;;8;9;7;7.8;21.5;17.8;83;37;42;NE;2;SE;2;SE;2;0;
22.03.2014;985.6;980.9;977.7;2;9;9;7.1;19.5;17.2;91;46;45;W;1;SE;3;S;4;traces;rain
23.03.2014;979.6;977.5;979.4;9;9;10;10.7;9;4.5;82;85;98;W;1;W;2;W;3;5.1;rain
24.03.2014;981.8;982.4;983.4;9;10;3;4.9;;6.3;89;63;63;W;2;NW;3;NW;3;0.2;rain
25.03.2014;985.4;984.1;985.1;9;9;5;4.3;;6.3;83;47;59;W;3;W;3;NE;2;traces;rain
26.03.2014;988.4;989.4;990.3;6;5;6;3.6;11.7;9;81;45;52;E;1;SE;2;E;2;0;
27.03.2014;990.7;988.5;987.7;5;6;7;4.2;15;13.1;87;45;48;N;1;E;3;E;2;0;
28.03.2014;990.7;992.2;993.7;5;1;1;7.2;16.5;13.5;76;44;44;NW;1;N;2;N;2;0;
29.03.2014;998;997.2;996.2;0;0;1;6;17.9;14.9;95;43;42;;0;E;2;SE;2;0;
30.03.2014;993.4;991;989.9;0;4;1;7.3;;15;85;38;48;NE;1;E;2;N;2;0;
31.03.2014;989;986.9;987;9;9;9;7.9;19.7;16.2;87;39;46;E;1;W;2;NW;3;0;
01.04.2014;989.3;988;987.4;9;8;10;10;17.3;15;75;47;51;;0;NE;3;E;1;0;
02.04.2014;988.7;986.7;984.9;10;8;2;8.5;18.1;15.5;80;44;53;NE;1;SE;3;SE;3;0;
03.04.2014;983.3;982.2;981.7;6;8;9;8.5;19.5;16.4;92;48;57;NE;1;E;1;SE;2;0;
04.04.2014;983.3;984.2;984.3;10;9;10;10.4;16.3;14.6;92;65;76;W;2;SE;2;E;2;0;
05.04.2014;986.1;987.4;988.9;9;10;10;9.4;18;14.1;98;55;70;NE;1;N;2;NW;1;traces;rain
06.04.2014;991.5;992.4;993.2;10;10;9;11.1;14.5;14.1;88;96;87;S;1;W;3;W;3;3.1;rain
07.04.2014;995.3;994;992.6;1;4;1;10.6;21.2;16.8;96;38;52;NE;1;NW;1;SE;2;0;
08.04.2014;990.1;988.4;990.1;8;7;10;11.1;24.5;16.1;90;38;68;NE;1;W;3;W;3;3.9;rain
09.04.2014;995.4;995.4;995.2;6;9;3;9.2;12;10.3;52;45;45;NW;4;NW;4;W;3;0.3;rain
10.04.2014;992.3;991.6;993.4;9;6;1;;11.3;8.1;76;66;76;W;3;NW;3;NW;4;8;rain
11.04.2014;995.8;994.1;993.1;1;5;3;6.6;13.5;9.9;82;44;53;W;1;NE;2;N;2;0;
12.04.2014;992.9;991.5;991;8;4;1;5.9;15.5;11.8;89;42;53;SE;1;N;1;NE;1;0;
13.04.2014;990.8;991.4;991.2;9;9;5;9.1;14;12.2;81;70;82;W;1;W;3;W;3;traces;rain
14.04.2014;988.4;985.9;986.9;9;9;9;11.7;14.5;8.1;64;45;80;W;3;W;5;W;5;6.7;rain
15.04.2014;991.7;992.7;993.7;7;10;5;5.2;5.9;5.8;67;97;91;NW;4;W;4;W;4;11.6;rain and graupel
16.04.2014;998.3;998.5;1000.7;7;5;2;;11.9;6.8;84;45;64;NW;3;N;3;NE;3;traces;rain
17.04.2014;999.5;995;992.8;1;3;3;6.1;13.4;10.2;67;42;52;NW;4;N;3;NE;2;0;
18.04.2014;986.5;983.3;984.4;1;7;9;7.3;18.3;13.3;75;30;41;SE;1;W;3;NW;3;0;
19.04.2014;986;982.8;982.8;5;9;10;9.1;19.3;14.2;77;53;83;NW;2;NW;3;SW;1;7.4;rain
20.04.2014;985.2;984.7;984.6;8;8;10;9.3;16;12.5;93;53;63;NE;2;E;2;SW;2;traces;rain
21.04.2014;983.3;982.6;982.1;8;8;9;11.3;17.8;15.7;91;64;71;SE;3;SE;4;SE;3;0.8;rain
22.04.2014;985.4;987.8;989.3;9;9;9;11.8;17.5;15.8;98;66;93;W;1;E;2;NW;1;1;rain
23.04.2014;993.5;992.6;992;1;7;7;12;21.5;18.1;90;44;53;SE;1;N;2;NW;2;0;
24.04.2014;992.4;990.2;989.8;9;8;9;13.6;21.7;16.3;84;48;89;W;2;N;2;W;3;16.7;rain
25.04.2014;989.2;987.8;987.5;10;10;10;13.4;18.6;15.2;97;63;93;SW;1;E;2;NE;2;1.3;rain
26.04.2014;987.9;987.4;985.8;10;9;6;13.5;16.3;15.7;96;82;83;NE;1;S;2;SE;3;0.5;rain
27.04.2014;982.9;981.1;981.2;5;1;7;13.5;20.5;18.1;77;45;56;SE;2;SE;4;SE;3;0;
28.04.2014;983.5;982.2;982.8;1;5;8;12.8;20.4;16;80;44;65;W;4;NE;2;NW;3;traces;rain
29.04.2014;984;983.6;983.6;8;6;6;13.7;18.7;14.5;87;78;90;NW;2;W;3;W;4;4.7;rain
30.04.2014;984.5;982.9;981.9;1;4;1;14.2;21.7;18;81;38;43;SW;2;N;2;NE;2;0;
