date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2013;988.3;988.9;990;7;10;10;-0.7;-0.2;0.2;94;94;93;SE;2;SE;2;SE;2;traces;rain
02.01.2013;994.4;999;1003.1;10;9;3;-1.3;4.5;4.2;100;85;67;S;2;W;3;W;3;0.9;rain
03.01.2013;1007.1;1003.2;1003.4;5;10;8;0.9;3.9;5.1;90;85;84;SW;2;W;6;W;6;1.9;rain and snow
04.01.2013;1002.5;1001;998.4;7;7;9;7.4;55.71297163947264;8.4;78;68;87;W;4;W;4;W;4;5.7;rain
05.01.2013;994.5;996.1;998.8;8;9;6;9.8;9;7.1;80;82;76;NW;4;NW;4;NW;4;7.5;rain
06.01.2013;999;994.3;993;9;10;10;6.5;6.8;6.5;81;97;87;NW;4;W;3;W;5;25.8;rain and snow
07.01.2013;998.9;1001.7;1003.1;10;9;9;0.9;1.8;0.9;98;84;82;N;3;NW;1;NE;1;0.5;snow
08.01.2013;1001.7;998.8;998.2;10;10;10;-0.9;-0.6;-0.3;92;99;100;E;1;SE;1;SE;1;10.4;"rain; snow and hail"
09.01.2013;996.6;995.8;992.9;9;8;10;4.4;7.1;5;93;80;93;W;3;W;2;SE;2;0.4;rain
10.01.2013;986.7;984.9;983.8;9;7;9;4.4;6;5.1;86;70;72;W;4;W;3;W;3;traces;rain
11.01.2013;981.5;986.3;990;10;2;1;3.9;1.5;-0.4;70;56;56;W;4;NW;3;NW;4;2.7;rain and snow
12.01.2013;991.5;991.8;993.2;9;10;5;-1.7;-0.2;-3;62;59;85;W;2;NW;2;W;2;traces;snow
13.01.2013;992.9;992.4;992.7;10;10;10;-3;-2.6;;93;90;95;NE;1;E;2;E;3;4;snow
14.01.2013;989.7;987.4;988.4;10;10;9;-2.6;-1.2;-2.2;99;91;92;E;2;S;2;NW;1;4;snow
15.01.2013;986.8;982.5;982.1;9;9;10;-2.6;0.2;-0.1;94;80;92;NE;1;E;2;S;2;0;
16.01.2013;981.1;979.2;979.2;10;9;10;-1.4;0.1;-0.5;81;72;87;NW;2;NW;3;NW;2;6.3;snow
17.01.2013;979;981.3;983.5;10;10;9;-1.4;-1;-1.7;97;97;90;NW;2;NW;2;NW;3;10.3;snow
18.01.2013;983;980.8;980.3;10;10;10;-2.8;-2.8;-3.4;85;86;90;NW;3;NW;3;NW;3;2.6;snow
19.01.2013;976.5;975.3;976.3;10;10;10;-4.4;-4.3;-4.7;78;79;84;NW;2;N;1;E;2;traces;rain
20.01.2013;974.1;972.4;971.7;10;10;10;-3.5;-1;0.1;100;100;99;E;2;NE;1;NE;2;0;
21.01.2013;970.9;;973.8;10;10;10;0.1;1.2;0.2;98;82;81;NW;2;W;2;W;3;traces;rain and snow
22.01.2013;977.4;979.3;980.9;9;7;9;-0.3;2;-0.1;80;68;77;NW;2;NW;3;N;2;0.2;snow
23.01.2013;983.2;983.9;984.8;10;10;10;-3.8;-1.3;-2.2;92;84;90;NE;1;SE;2;SE;2;traces;snow and graupel
24.01.2013;983.9;984;985.6;10;10;10;-2.9;-1.4;-0.8;96;93;89;NE;2;N;2;NW;3;traces;"rain; snow and graupel"
25.01.2013;989.3;991;993.1;10;10;10;-3.2;-3.7;-4.1;83;72;69;NW;3;NW;3;NW;3;traces;snow
26.01.2013;990.8;990.4;992.4;10;1;0;-5.8;-3.8;-7.3;73;65;81;N;2;N;2;NW;2;0;
27.01.2013;991;988.3;986.1;9;10;10;-8.4;-3.9;-5;94;79;85;NE;1;E;1;SE;2;0.7;snow
28.01.2013;987.2;991.6;;10;10;9;-3.4;-0.5;1.9;94;93;90;S;1;E;1;W;2;1.4;rain and snow
29.01.2013;993.6;990.4;989.6;9;10;10;-0.4;4.3;5.9;98;91;89;SW;2;W;5;W;5;15.3;rain
30.01.2013;989.4;987.3;984.8;10;5;5;7.8;13.1;10.7;93;65;73;W;4;W;3;S;1;1.7;rain
31.01.2013;990.9;990.6;987.6;4;9;6;7.2;9.4;10.5;65;46;43;W;3;W;6;W;4;0.3;rain
01.02.2013;987.2;984.2;976.5;9;9;10;7.6;8.9;7.7;69;57;60;W;4;W;4;S;3;0.4;rain
02.02.2013;964.5;969.7;975.5;9;10;9;4.2;6.3;4.8;93;87;71;SE;1;NW;4;NW;3;3.1;rain
03.02.2013;984.4;987.6;989.8;9;1;9;0.7;4.7;3;63;34;55;NW;4;NW;4;NW;3;traces;rain and snow
04.02.2013;985.9;986;985.5;10;10;9;2.8;3.7;5.9;75;85;81;W;4;W;4;W;6;1.8;rain and snow
05.02.2013;984.5;979.4;978.2;6;10;8;6.7;8.7;4.3;82;73;82;SW;2;W;4;W;1;3.2;rain
06.02.2013;975.5;975.6;975.7;10;10;7;2.2;3.6;0.8;94;61;80;W;3;NW;2;NW;2;0;
07.02.2013;977.8;980.6;983.4;10;6;4;0.3;4.1;1.6;73;53;71;NW;3;NW;3;NW;3;traces;rain
08.02.2013;985.3;985.6;986.7;5;8;5;-0.4;2.6;0.3;79;48;62;NW;3;NW;2;N;2;0;
09.02.2013;989;989.5;990.3;7;10;10;-1.7;0.8;0.2;79;65;74;NW;2;N;3;NW;2;0.1;snow
10.02.2013;989.6;988.5;987.5;10;10;10;-2;-1.2;-2.1;85;88;91;NW;3;NW;3;NW;3;1.5;snow
11.02.2013;984.9;982.7;982.2;9;9;9;-3.8;-0.8;-0.1;90;76;70;SE;2;SE;3;SE;4;3.4;snow
12.02.2013;982.4;982.6;985.6;10;10;10;-3.1;-0.9;-0.2;98;94;99;SE;4;SE;3;SW;2;2.8;snow
13.02.2013;991.2;994.4;996.4;10;10;10;-0.8;0.2;-0.5;81;83;92;W;3;NW;3;W;4;4.4;snow
14.02.2013;997.7;996;994.9;10;10;10;-0.9;1.1;0.7;89;84;87;NW;4;NW;3;NW;2;0.8;snow
15.02.2013;992.1;993.1;994.8;10;10;9;;2;1.3;99;87;91;NE;1;NE;2;N;2;traces;snow
16.02.2013;996.9;997.3;997.8;10;7;10;0.7;4.5;2.5;87;61;84;W;2;W;2;W;2;traces;snow
17.02.2013;997.5;997.2;997.6;6;9;9;0.2;3.8;2.6;83;66;74;N;2;N;2;NW;2;0;
18.02.2013;996.1;995.3;995;7;9;10;-1.3;3.1;1.6;92;60;70;NW;1;NE;2;NE;1;0;
19.02.2013;990.8;987;985.5;10;10;10;1.3;2.8;;77;78;93;W;2;W;3;W;4;1.3;rain and snow
20.02.2013;989.7;991.6;993.4;8;4;5;0.2;1.5;-0.1;70;66;65;NW;3;NW;3;NW;2;0.1;snow
21.02.2013;993.9;993.1;992.4;9;7;7;-2.5;0;;73;59;64;NW;2;N;2;N;2;0.4;snow
22.02.2013;987.6;984.4;984.2;10;10;10;-5.1;-2.1;-2.7;90;82;92;N;2;N;2;W;1;9.2;snow
23.02.2013;979.7;981.2;984.2;10;10;9;-1.2;0.2;-1.2;100;87;87;NE;2;W;2;W;1;15.6;rain and snow
24.02.2013;982.9;985.6;986.8;10;10;10;-0.4;0.3;0.7;98;98;99;SW;1;SE;1;SW;1;6.7;rain and snow
25.02.2013;990.5;994.9;996.9;10;10;10;0.6;2.3;1.7;92;89;94;NW;2;E;1;;0;traces;rain
26.02.2013;996.8;997.5;998.7;10;10;9;2.7;4.4;3.4;95;86;85;N;3;NW;3;NW;3;0.2;rain
27.02.2013;1000;1001.1;1001.8;10;10;10;2.8;3.7;3.8;86;82;79;NW;3;NW;3;NW;3;traces;rain
28.02.2013;1001.3;999.3;997.2;10;2;0;2.7;7.7;4.7;79;61;84;NW;1;E;2;NE;2;0;
01.03.2013;995;994.4;995;10;10;10;2.9;4;2.9;84;73;80;NW;2;NW;2;NW;2;0;
02.03.2013;997.5;997.2;;0;6;6;1.3;6.2;2.1;59;46;61;NW;3;NW;3;NW;1;0;
03.03.2013;994.4;994;995;4;3;0;1;7.5;3.3;75;47;63;W;3;W;3;NW;2;0;
04.03.2013;999;999.4;999.2;0;0;0;-0.4;7.6;4.7;76;43;51;W;2;E;2;SE;2;0;
05.03.2013;995.3;993;990.7;1;1;1;2.8;10.4;7.7;68;42;50;SE;4;S;5;S;3;0;
06.03.2013;985;981.2;979.8;3;7;5;4.8;14.5;12.5;60;43;57;SE;2;SE;3;S;3;traces;rain
07.03.2013;976.7;976.3;976.2;8;6;6;9.8;16.1;13.8;79;54;59;S;2;E;2;N;2;0;
08.03.2013;978.5;977.3;977.4;10;10;10;7.9;11.9;11.6;93;81;82;NW;1;E;3;E;2;1;rain
09.03.2013;978.8;978.2;978.2;10;10;10;6.5;8.9;8.9;98;82;86;N;1;NE;2;N;2;0.1;rain
10.03.2013;976;974.3;974.4;9;10;10;5.3;12.5;9.4;99;59;72;E;1;NW;1;W;1;0.1;rain
11.03.2013;973.8;975.5;977.1;6;9;10;5.8;9.4;6.1;90;70;64;;0;N;2;N;2;0.1;rain
12.03.2013;977;974.4;973;10;9;9;0.5;5.2;5.1;77;67;69;NE;2;NE;2;NE;2;0;
13.03.2013;973.2;973.9;976;9;10;10;2.1;8.3;3.8;84;60;87;N;2;N;2;N;3;1.5;rain and snow
14.03.2013;978.8;978;978.2;10;10;10;-2.1;-1.9;-1.4;81;76;62;NW;3;NW;4;NW;4;0.2;snow
15.03.2013;980.7;985.1;989.1;10;9;9;-3;1.3;-0.3;56;42;46;NW;5;NW;4;NW;3;0;
16.03.2013;994.7;994.5;994.1;4;5;0;-3.5;1.5;-0.4;71;42;47;NW;3;NW;2;N;1;0;
17.03.2013;990.5;987.6;985.6;4;2;8;-2.8;4.2;1.7;71;44;56;SE;4;SE;5;SE;5;0;
18.03.2013;979.4;974.5;;8;10;10;0.8;0.2;1.4;75;98;100;SE;2;SE;4;SE;3;3.5;rain and snow
19.03.2013;968.5;974.8;977.6;10;7;1;3.5;;5.5;83;51;70;W;4;W;4;W;4;0.3;rain
20.03.2013;981.3;981;981.2;3;8;7;0.2;13;10.1;91;39;55;;0;SE;2;E;2;0.1;rain
